Book Title,Author,Runtime
Lazarus: Enmity's Edge,By: Gary Kloster,Length: 11 hrs and 47 mins
The Witch of Webs,By: pirateaba,Length: 47 hrs and 18 mins
Magical Midlife Awakening,By: K.F. Breene,Length: 10 hrs and 7 mins
My Dark Desire,"By: L.J. Shen, Parker S. Huntington",Length: 17 hrs and 1 min
The Wanted,"By: Jason Anspach, Nick Cole",Length: 13 hrs and 1 min
Jake's Magical Market 3,By: J.R. Matthews,Length: 35 hrs
Swamp Spies,By: Jana DeLeon,Length: Not Yet Known
Own Me,By: K. A. Tucker,Length: 9 hrs and 23 mins
Igni Ferroque: A Dark MM Paranormal Romance,By: Ashlyn Drewek,Length: 14 hrs and 1 min
All the Skills 4: A Deck-Building LitRPG,By: Honour Rae,Length: 14 hrs and 26 mins
"Live, Love, Spy",By: Lexi Blake,Length: 15 hrs and 11 mins
Wind and Truth,By: Brandon Sanderson,Length: 40 hrs
Endfall,By: David Estes,Length: 46 hrs and 19 mins
Raising Mentally Strong Kids,"By: Daniel G. Amen M.D., Charles Fay Ph.D",Length: 11 hrs and 17 mins
Passions in Death,By: J. D. Robb,Length: 12 hrs and 51 mins
Summoner Assassin,By: Aaron Renfroe,Length: 12 hrs and 34 mins
The Mirror,By: Nora Roberts,Length: 14 hrs and 24 mins
Sabotage,By: Sherrilyn Kenyon,Length: 8 hrs and 6 mins
Putting Out for a Hero,By: C. Rochelle,Length: 11 hrs and 28 mins
Dawnfall,By: Actus,Length: 11 hrs and 31 mins
